motif,label
0101,r
0110,p
0121,i
0102,o
0112,c
0120,w
010101,rr
010110,rp
011001,pp
011010,pr
010102,ro
010112,rc
010120,rw
010121,ri
010201,oo
010202,or
010210,ow
010212,oi
010220,op
010221,oc
011002,pc
011012,po
011020,pi
011021,pw
011201,cw
011202,ci
011210,co
011212,cr
011220,cc
011221,cp
012001,wc
012002,wp
012010,wi
012012,ww
012020,wr
012021,wo
012101,ii
012102,iw
012110,ic
012112,ip
012120,io
012121,ir
